Size, Time
Testing Mystery 1
5000,0.000384
15000,0.001254
50000,0.007060
100000,0.010717
500000,0.052194
5000,0.000418
15000,0.001199
50000,0.005553
100000,0.009596
500000,0.055989
5000,0.000391
15000,0.001480
50000,0.004449
100000,0.010738
500000,0.055439

Testing Mystery 2
5000,0.000015
15000,0.000038
50000,0.000131
100000,0.000241
500000,0.001193
5000,0.000008
15000,0.000037
50000,0.000075
100000,0.000269
500000,0.001221
5000,0.000014
15000,0.000032
50000,0.000113
100000,0.000262
500000,0.001532

Testing Mystery 3
5000,0.000006
15000,0.000015
50000,0.000102
100000,0.000126
500000,0.000415
5000,0.000016
15000,0.000037
50000,0.000129
100000,0.000168
500000,0.000673
5000,0.000021
15000,0.000017
50000,0.000050
100000,0.000100
500000,0.000459

Testing Mystery 4
5000,0.012729
15000,0.113639
50000,1.047697
100000,4.193941
500000,91.36422
5000,0.014275
15000,0.125404
50000,1.608323
100000,4.083987
500000,82.825413
5000,0.012007
15000,0.121109
50000,1.213972
100000,4.440545
500000,80.825934

Testing Mystery 5
5000,0.000170
15000,0.000449
50000,0.001638
100000,0.003168
500000,0.016474
5000,0.000143
15000,0.000382
50000,0.001467
100000,0.002825
500000,0.014183
5000,0.000141
15000,0.000391
50000,0.001402
100000,0.002872
500000,0.015033
